user;month;type;class;category
dom2_9;6;dom;dom1_2;household
dom2_9;7;dom;dom1_2;household
dom2_9;8;dom;dom1_2;household
dom2_9;9;dom;dom1_2;household
dom2_9;10;dom;dom1_2;household
dom2_9;11;dom;dom1_2;household
dom2_9;12;dom;dom1_2;household
bta2_5;4;bta;bta2;commercial
bta2_c5;1;bta;bta2;municipal
bta2_c5;2;bta;bta2;municipal
bta2_c5;3;bta;bta2;municipal
bta2_c5;4;bta;bta2;municipal
bta2_c5;5;bta;bta2;municipal
bta2_c5;6;bta;bta2;municipal
bta2_c5;7;bta;bta2;municipal
bta2_c5;8;bta;bta2;municipal
bta2_c5;9;bta;bta2;municipal
bta2_c5;10;bta;bta2;municipal
bta2_c5;11;bta;bta2;municipal
bta2_c5;12;bta;bta2;municipal
dom4_2;1;dom;dom4;household
dom4_2;2;dom;dom4;household
dom4_2;3;dom;dom4;household
dom4_2;4;dom;dom4;household
dom4_2;5;dom;dom4;household
dom4_2;6;dom;dom4;household
dom4_2;7;dom;dom4;household
dom4_2;8;dom;dom4;household
dom4_2;9;dom;dom4;household
dom4_2;10;dom;dom4;household
dom4_2;11;dom;dom4;household
dom4_2;12;dom;dom4;household
bta5_2;1;bta;bta5;residential
bta5_2;2;bta;bta5;residential
